id,x,y,label
1,28849,24159,Tumor tissue
1,28860,24193,Tumor tissue
1,28872,24238,Tumor tissue
1,28883,24272,Tumor tissue
1,28894,24307,Tumor tissue
1,28906,24363,Tumor tissue
1,28928,24420,Tumor tissue
1,28962,24477,Tumor tissue
1,28996,24567,Tumor tissue
1,29030,24670,Tumor tissue
1,29076,24772,Tumor tissue
1,29110,24874,Tumor tissue
1,29155,24987,Tumor tissue
1,29201,25089,Tumor tissue
1,29223,25192,Tumor tissue
1,29246,25282,Tumor tissue
1,29257,25316,Tumor tissue
1,29257,25339,Tumor tissue
1,29292,25384,Tumor tissue
1,29337,25430,Tumor tissue
1,29348,25453,Tumor tissue
1,29348,25475,Tumor tissue
1,29371,25532,Tumor tissue
1,29416,25657,Tumor tissue
1,29473,25804,Tumor tissue
1,29530,25929,Tumor tissue
1,29575,26054,Tumor tissue
1,29598,26133,Tumor tissue
1,29598,26156,Tumor tissue
1,29609,26179,Tumor tissue
1,29632,26201,Tumor tissue
1,29643,26235,Tumor tissue
1,29643,26269,Tumor tissue
1,29655,26303,Tumor tissue
1,29677,26326,Tumor tissue
1,29689,26338,Tumor tissue
1,29689,26360,Tumor tissue
1,29700,26383,Tumor tissue
1,29723,26394,Tumor tissue
1,29745,26417,Tumor tissue
1,29757,26451,Tumor tissue
1,29780,26485,Tumor tissue
1,29814,26519,Tumor tissue
1,29836,26542,Tumor tissue
1,29859,26564,Tumor tissue
1,29882,26576,Tumor tissue
1,29938,26587,Tumor tissue
1,30018,26610,Tumor tissue
1,30086,26621,Tumor tissue
1,30154,26633,Tumor tissue
1,30211,26644,Tumor tissue
1,30245,26644,Tumor tissue
1,30279,26644,Tumor tissue
1,30313,26644,Tumor tissue
1,30336,26644,Tumor tissue
1,30381,26644,Tumor tissue
1,30472,26621,Tumor tissue
1,30551,26599,Tumor tissue
1,30585,26587,Tumor tissue
1,30631,26564,Tumor tissue
1,30687,26553,Tumor tissue
1,30756,26542,Tumor tissue
1,30846,26519,Tumor tissue
1,30937,26496,Tumor tissue
1,31017,26474,Tumor tissue
1,31096,26462,Tumor tissue
1,31164,26451,Tumor tissue
1,31209,26440,Tumor tissue
1,31244,26440,Tumor tissue
1,31266,26428,Tumor tissue
1,31334,26406,Tumor tissue
1,31436,26372,Tumor tissue
1,31516,26338,Tumor tissue
1,31584,26326,Tumor tissue
1,31629,26315,Tumor tissue
1,31652,26303,Tumor tissue
1,31686,26303,Tumor tissue
1,31720,26292,Tumor tissue
1,31788,26258,Tumor tissue
1,31890,26224,Tumor tissue
1,31947,26213,Tumor tissue
1,31993,26201,Tumor tissue
1,32049,26179,Tumor tissue
1,32095,26167,Tumor tissue
1,32151,26156,Tumor tissue
1,32231,26133,Tumor tissue
1,32299,26111,Tumor tissue
1,32344,26099,Tumor tissue
1,32401,26099,Tumor tissue
1,32481,26099,Tumor tissue
1,32583,26088,Tumor tissue
1,32696,26077,Tumor tissue
1,32787,26065,Tumor tissue
1,32855,26054,Tumor tissue
1,32934,26054,Tumor tissue
1,33037,26054,Tumor tissue
1,33150,26054,Tumor tissue
1,33275,26043,Tumor tissue
1,33388,26031,Tumor tissue
1,33491,26031,Tumor tissue
1,33604,26031,Tumor tissue
1,33740,26020,Tumor tissue
1,33854,26008,Tumor tissue
1,33922,26008,Tumor tissue
1,33979,26008,Tumor tissue
1,34013,26008,Tumor tissue
1,34058,26008,Tumor tissue
1,34115,26008,Tumor tissue
1,34149,26008,Tumor tissue
1,34194,26008,Tumor tissue
1,34240,26008,Tumor tissue
1,34274,26020,Tumor tissue
1,34330,26031,Tumor tissue
1,34376,26043,Tumor tissue
1,34399,26054,Tumor tissue
1,34421,26054,Tumor tissue
1,34433,26065,Tumor tissue
1,34444,26088,Tumor tissue
1,34455,26111,Tumor tissue
1,34455,26133,Tumor tissue
1,34467,26167,Tumor tissue
1,34489,26190,Tumor tissue
1,34512,26201,Tumor tissue
1,34523,26235,Tumor tissue
1,34523,26269,Tumor tissue
1,34523,26292,Tumor tissue
1,34523,26315,Tumor tissue
1,34535,26338,Tumor tissue
1,34546,26372,Tumor tissue
1,34546,26406,Tumor tissue
